"","q2","q3","q4","q11","q61","q62","q63","q64","q68","q69"
"1075",1989,1,7,-9,7,21,NA,2,1,0
"1076",1960,1,7,2,8,21,NA,2,12,20000
"1077",1953,2,7,2,5,7,3,2,4,60000
"1078",1945,2,7,2,8,1,3,2,4,1e+05
"1079",1957,1,7,2,9,14,1,2,1,150000
"1080",1958,1,7,1,10,21,NA,2,4,-9
"1081",1986,1,7,5,10,21,NA,2,1,80000
"1082",1990,2,7,2,8,21,NA,2,3,45000
"1083",1975,1,7,3,10,15,3,2,1,125000
"1084",1979,1,7,-9,11,6,1,13,1,-8
"1085",1955,2,7,-9,7,21,NA,2,4,-8
"1086",1972,2,7,1,9,-9,NA,13,3,-8
"1087",1974,1,7,1,9,21,NA,2,1,325000
"1088",1952,1,7,-9,5,21,NA,2,4,-9
"1089",1992,1,7,1,7,6,3,2,1,110000
"1090",1970,1,7,2,8,6,1,2,1,250000
"1091",1995,2,7,-9,8,14,2,2,9,21000
"1092",1943,1,7,1,11,21,NA,13,4,2e+05
"1093",1982,2,7,-9,9,14,2,2,1,35000
"1094",1983,1,7,3,11,21,NA,2,1,80000
"1095",1987,2,8,2,7,21,NA,2,1,280000
"1096",1980,1,8,2,7,3,2,2,1,160000
"1097",1965,1,8,2,7,1,1,2,3,120000
"1098",2000,2,8,1,5,21,NA,2,2,70000
"1099",1986,2,8,-8,9,22,1,2,1,-8
"1100",1965,1,8,-9,5,6,2,2,1,-9
"1101",1963,1,8,2,11,22,1,2,1,110000
"1102",1990,2,8,-9,9,22,3,2,1,140000
"1103",1971,2,8,NA,10,14,1,2,1,98000
"1104",1994,2,8,-9,8,21,NA,2,9,70000
"1105",1990,2,8,3,8,21,NA,2,9,-9
"1106",1952,1,8,1,9,6,2,2,3,170000
"1107",1981,2,8,3,10,21,NA,2,1,2e+05
"1108",1963,1,8,-9,5,6,1,2,1,86000
"1109",1976,1,8,2,9,11,2,2,1,240000
"1110",1988,2,8,-9,9,6,2,2,1,85000
"1111",1986,1,8,-9,5,21,NA,2,1,110000
"1112",1958,1,8,2,7,14,1,2,5,42000
"1113",1949,1,8,2,2,12,1,2,1,60000
"1114",1955,1,8,3,2,1,1,2,8,-9
"1115",1988,1,8,-9,7,21,NA,2,1,45000
"1116",1975,2,8,3,9,6,2,2,10,190000
"1117",1987,1,8,2,5,21,NA,2,3,250000
"1118",1981,2,8,3,8,21,NA,2,1,109000
"1119",1989,1,8,3,6,22,2,2,1,125000
"1120",1986,1,8,-9,9,21,NA,2,1,80000
"1121",1961,1,8,-8,5,-8,2,2,4,-8
"1122",1992,1,5,2,10,22,3,2,1,56000
"1123",1987,1,8,-9,7,6,3,2,1,1e+05
"1124",1933,2,8,1,10,20,1,2,4,125000
"1125",1975,2,1,-9,9,14,4,2,1,250000
"1126",1997,1,1,3,7,1,3,2,1,-9
"1127",1970,2,1,-9,11,1,3,2,3,310000
"1128",1988,1,1,3,9,-9,NA,2,9,50000
"1129",2000,1,1,2,5,1,2,2,1,-9
"1130",1960,1,1,2,4,6,4,2,8,95000
"1131",1949,1,1,-9,4,6,1,13,4,55000
"1132",1998,1,1,3,5,21,NA,2,6,150000
"1133",1955,1,1,-8,7,-8,2,2,4,80000
"1134",1981,1,1,1,7,6,1,2,1,50000
"1135",1954,1,4,-8,5,9,3,2,8,33000
"1136",1982,1,1,2,5,6,1,2,1,4e+05
"1137",1947,1,1,1,3,1,3,13,4,30000
"1138",1941,1,1,-9,4,21,NA,2,4,42000
"1139",1965,1,1,1,10,6,2,2,3,0
"1140",1949,1,1,-9,4,6,3,2,4,40000
"1141",1996,1,1,1,9,21,NA,2,5,30000
"1142",1957,2,1,-9,5,4,2,2,2,39000
"1143",1963,1,1,5,4,21,NA,2,3,-9
"1144",1971,1,1,2,7,12,2,2,8,15000
"1145",1979,2,1,1,7,12,2,2,1,36000
"1146",1971,1,1,5,11,21,NA,2,1,180000
"1147",1969,2,1,-9,7,6,1,2,10,30000
"1148",1986,1,1,-9,7,18,2,2,1,24000
"1149",1976,2,1,3,7,6,2,2,10,65000
"1150",1997,2,6,1,9,21,NA,2,1,10000
"1151",1956,2,2,1,8,12,1,2,5,30000
"1152",1976,2,2,5,6,21,NA,2,3,90000
"1153",1986,1,2,-9,7,21,NA,2,1,80000
"1154",1960,2,2,-9,5,14,1,2,8,11000
"1155",1957,2,2,2,5,21,NA,2,2,20000
"1156",1988,1,9,2,11,9,4,2,1,80000
"1157",1979,2,2,-9,10,6,3,2,1,90000
"1158",1962,1,2,-9,6,6,1,2,1,50000
"1159",1966,2,2,-9,10,12,2,5,8,150000
"1160",1992,1,2,-9,9,21,NA,2,1,180000
"1161",1978,1,2,5,7,6,3,2,5,115000
"1162",2001,2,2,2,5,6,2,2,9,-9
"1163",1988,2,2,5,6,21,NA,2,8,3000
"1164",1978,2,2,1,10,6,2,2,1,140000
"1165",1958,2,2,5,7,4,2,2,2,57000
"1166",1971,1,2,2,5,12,3,2,1,50000
"1167",1956,2,2,-9,5,-8,2,2,1,-8
"1168",1967,2,6,NA,4,9,4,2,12,22000
"1169",1969,1,2,2,8,14,2,2,2,60000
"1170",1990,1,3,1,10,21,NA,2,1,650000
"1171",1983,1,9,2,5,-9,3,2,1,-9
"1172",1981,2,3,1,5,9,1,2,1,50000
"1173",1987,2,3,-9,10,21,NA,2,1,1e+05
"1174",1946,1,3,2,10,21,NA,2,3,80000
"1175",1987,1,3,NA,9,21,NA,2,1,80000
"1176",1959,2,3,3,9,12,1,2,1,89000
"1177",1964,1,3,-8,6,-8,4,2,1,135000
"1178",1992,1,3,5,7,21,NA,2,6,45000
"1179",1959,2,3,1,7,22,1,2,2,-8
"1180",1999,2,3,5,5,21,NA,2,1,-8
"1181",1987,1,3,2,11,6,3,2,1,3e+05
"1182",1961,1,3,3,7,21,NA,2,1,90000
"1183",1983,2,3,7,7,6,1,2,12,30000
"1184",1999,2,3,3,5,21,NA,2,9,-8
"1185",1992,1,3,1,9,12,2,2,1,-9
"1186",1996,2,3,5,9,21,NA,2,1,55000
"1187",1993,1,3,3,7,21,NA,2,1,1e+05
"1188",1949,2,3,1,10,12,2,2,2,60000
"1189",1952,1,3,5,7,-9,NA,2,2,60000
"1190",1944,1,3,1,11,12,1,2,4,110000
"1191",1997,1,3,1,7,2,1,13,5,70000
"1192",1955,2,3,1,10,14,2,2,4,68000
"1193",1988,1,3,-9,5,6,1,2,1,57000
"1194",1966,2,3,2,9,6,1,2,1,120000
"1195",1977,2,3,-9,7,21,NA,2,10,45000
"1196",1982,2,3,3,8,22,4,2,1,79000
"1197",1949,2,5,1,5,6,1,2,4,21000
"1198",1955,1,4,2,7,21,NA,2,4,60000
"1199",1982,2,7,2,9,21,NA,2,1,0
"1200",1950,1,4,2,7,9,1,2,11,-9
"1201",1955,2,4,1,7,6,2,2,2,110000
"1202",1952,1,4,1,9,6,2,2,5,75000
"1203",1991,1,4,2,9,3,1,2,1,-8
"1204",1986,1,6,1,11,-9,NA,2,1,115000
"1205",1986,1,4,-9,9,6,3,5,1,155000
"1206",1996,2,4,-9,6,6,2,2,2,1e+05
"1207",1999,1,4,-9,4,4,2,2,2,-9
"1208",1977,2,4,1,9,6,2,2,3,5e+05
"1209",1995,1,4,1,8,21,NA,2,6,31000
"1210",1979,1,4,5,9,4,2,2,1,160000
"1211",1952,1,4,-9,8,12,2,2,4,1e+05
"1212",1954,1,4,2,11,6,2,2,4,2e+05
"1213",1980,2,4,1,10,21,NA,2,1,0
"1214",1979,2,4,NA,5,21,NA,2,10,16000
"1215",1989,2,4,-9,9,12,3,2,1,90000
"1216",1950,1,4,5,5,6,2,2,1,60000
"1217",1978,1,4,-9,11,6,4,2,1,-8
"1218",1994,1,4,-9,6,6,1,2,1,60000
"1219",1992,1,4,2,9,12,3,2,1,80000
"1220",1970,1,10,-9,7,22,-8,2,1,-8
"1221",1982,1,10,1,7,21,NA,2,1,185000
"1222",1980,1,10,1,5,10,3,7,1,80000
"1223",1950,1,9,-9,4,21,NA,2,4,30000
"1224",1950,1,10,3,9,21,NA,2,4,40000
"1225",1977,1,10,-9,8,2,1,6,1,140000
"1226",1970,1,10,5,8,6,4,2,1,150000
"1227",1979,2,10,2,7,22,1,2,1,35000
"1228",1981,2,10,3,9,21,NA,2,1,2e+05
"1229",1986,2,10,-9,7,21,NA,2,7,110000
"1230",1954,1,10,5,8,21,NA,2,3,20000
"1231",1970,1,10,-9,9,21,NA,2,1,12000
"1232",1978,1,10,-9,9,21,NA,13,1,1e+05
"1233",1962,1,10,1,9,10,1,12,1,160000
"1234",1976,1,10,-8,6,-8,2,2,1,70000
"1235",1984,2,10,1,6,21,NA,2,1,1e+05
"1236",1953,1,10,2,11,6,3,13,3,3e+05
"1237",1959,1,10,3,5,21,NA,2,1,52000
"1238",1937,2,10,-9,5,3,1,1,4,-8
"1239",1961,1,10,2,5,21,NA,2,4,-8
"1240",1947,1,10,3,10,-9,NA,2,4,-8
"1241",1975,1,10,5,9,21,NA,2,10,135000
"1242",1950,1,10,-9,10,12,1,2,3,350000
"1243",1963,1,10,-9,7,21,NA,13,3,-8
"1244",1966,2,10,-9,9,6,1,13,12,-9
"1245",1946,1,10,2,9,9,2,3,4,150000
"1246",1951,2,10,5,10,21,NA,2,4,55000
"1247",1942,1,10,-8,4,12,2,2,4,-8
"1248",1961,1,10,NA,7,21,NA,2,1,40000
"1249",1963,1,10,3,5,6,3,2,1,96000
"1250",1946,1,10,1,9,21,NA,3,4,-9
"1251",1983,1,10,6,7,22,2,2,12,80000
"1252",1979,1,10,3,11,21,NA,13,3,238000
"1253",1958,1,10,3,8,22,1,13,3,120000
"1254",1977,1,10,3,9,21,NA,2,1,0
"1255",1988,2,10,1,10,21,NA,2,1,150000
"1256",1986,1,10,1,9,22,-8,2,3,150000
"1257",1987,1,10,6,7,21,NA,2,3,60000
"1258",1993,2,10,1,9,21,NA,2,1,80000
"1259",1945,1,10,1,9,21,NA,2,4,102000
"1260",2000,1,10,-9,5,21,NA,2,9,-9
"1261",1974,1,10,1,7,21,NA,2,1,150000
"1262",1954,2,10,-9,10,21,NA,11,4,-8
"1263",1977,2,10,5,11,21,NA,2,3,250000
"1264",1967,1,10,5,7,21,NA,2,1,-8
"1265",1947,1,10,-8,7,22,2,2,4,-8
"1266",1946,1,10,-8,9,14,1,2,3,120000
"1267",1986,1,10,1,11,21,NA,2,1,95000
"1268",1963,1,10,-9,9,21,NA,2,2,15000
"1269",1977,1,10,2,10,9,-8,13,1,2e+05
"1270",1993,2,10,-9,9,21,NA,4,1,55000
"1271",1969,2,10,1,5,21,NA,2,8,-9
"1272",1962,1,10,NA,3,1,2,2,1,80000
"1273",1954,2,10,-9,6,21,NA,2,4,80000
"1274",1957,1,10,2,9,14,1,2,1,0
"1275",1946,1,10,-9,7,21,NA,2,4,70000
"1276",1985,1,10,2,7,22,1,2,1,180000
"1277",1978,1,10,-9,5,21,NA,2,1,32000
"1278",1979,2,10,2,9,4,3,2,9,90000
"1279",1961,1,10,5,5,21,NA,2,4,-9
"1280",1945,1,10,5,11,1,1,2,4,-8
"1281",1969,2,10,1,6,21,NA,2,1,75000
"1282",1960,1,10,-9,7,22,1,2,3,149000
"1283",1966,1,10,3,7,2,4,13,1,80000
"1284",1971,1,10,5,9,-9,NA,2,1,135000
"1285",1976,1,10,7,6,22,1,2,3,-9
"1286",1983,1,10,3,10,21,NA,2,1,130000
"1287",1954,2,10,-9,8,22,2,2,2,7000
"1288",1954,1,10,-9,7,21,NA,2,4,70000
"1289",1998,1,10,1,8,21,NA,13,6,250000
"1290",1970,1,4,1,9,7,3,2,1,-8
"1291",1945,2,4,-9,4,6,1,2,4,-9
"1292",1998,1,4,6,-9,21,NA,13,1,12000
"1293",1981,1,4,-9,11,21,NA,2,1,180000
"1294",1985,1,4,-9,7,21,NA,2,1,45000
"1295",1987,1,4,-9,5,14,3,2,1,125000
"1296",1965,2,4,2,11,21,NA,2,1,60000
"1297",1977,1,4,-9,7,21,NA,2,1,40000
"1298",1991,2,4,1,8,21,NA,2,1,53000
"1299",1964,1,4,3,10,21,NA,2,1,190000
"1300",1966,2,4,-8,9,6,2,2,1,160000
"1301",1978,2,4,2,7,14,1,2,2,90000
"1302",1963,2,4,5,10,21,NA,2,6,55000
"1303",1963,1,4,-9,6,6,2,2,3,80000
"1304",1955,2,4,1,4,6,1,2,1,27000
"1305",1970,1,4,-9,10,6,4,2,1,110000
"1306",1981,1,4,-9,9,6,2,2,1,130000
"1307",1964,2,4,-9,11,5,1,3,1,120000
"1308",1993,1,4,3,7,-9,NA,2,2,-9
"1309",1976,1,4,-9,9,21,NA,2,1,210000
"1310",1977,1,4,1,9,6,2,2,1,0
"1311",1943,1,4,1,9,6,2,2,4,-8
"1312",1966,1,4,-9,7,3,1,2,1,90000
"1313",2001,2,4,5,8,12,2,2,6,-9
"1314",1995,2,4,2,8,3,2,2,1,50000
"1315",1999,1,3,2,6,9,2,2,9,13000
"1316",1970,2,4,6,8,21,NA,2,1,130000
"1317",1989,1,4,2,5,14,1,2,6,-8
"1318",1947,1,4,-9,8,1,2,2,4,40000
"1319",1974,2,4,1,9,21,NA,2,1,34000
"1320",1970,1,4,1,8,21,NA,2,1,180000
"1321",1943,2,3,NA,6,4,1,2,8,55000
"1322",1955,1,1,-9,7,-9,NA,2,1,-8
"1323",1990,1,1,2,7,12,4,2,1,160000
"1324",1973,2,1,3,7,16,2,2,2,130000
"1325",1952,2,1,-9,7,12,3,2,4,70000
"1326",1939,2,1,1,10,6,1,2,4,32000
"1327",1958,1,1,1,10,21,NA,2,4,50000
"1328",1977,2,1,-9,8,1,1,2,10,71000
"1329",1995,2,1,7,7,6,3,2,6,80000
"1330",1977,1,1,3,4,21,NA,2,5,14000
"1331",1980,1,1,-8,4,6,2,2,1,105000
"1332",1962,1,1,2,6,1,2,2,4,650000
"1333",1964,1,1,1,5,1,2,2,3,180000
"1334",1973,1,1,-9,9,6,2,2,1,-8
"1335",1992,1,1,-8,5,1,2,2,1,-9
"1336",1977,1,1,-9,7,6,1,2,5,15000
"1337",1973,1,1,1,9,21,NA,2,1,225000
"1338",1997,2,1,NA,7,21,NA,2,1,-9
"1339",1944,2,6,2,9,12,1,2,4,69000
"1340",1962,1,1,1,10,21,NA,2,1,160000
"1341",1979,1,1,-9,9,21,NA,2,1,210000
"1342",1984,1,1,1,7,21,NA,2,3,65000
"1343",1988,1,1,-9,6,21,NA,2,2,-9
"1344",1985,2,1,1,11,21,NA,2,1,80000
"1345",1997,1,1,3,6,-8,4,2,9,24000
"1346",1965,1,1,1,5,4,1,2,3,50000
"1347",1994,2,1,-9,6,-9,NA,2,9,-8
"1348",1960,1,1,1,9,6,3,2,1,2e+05
"1349",1994,2,3,1,8,21,NA,2,6,250000
"1350",1961,2,3,2,7,3,-8,2,4,-8
"1351",1987,1,3,-8,10,6,4,2,5,110000
"1352",2001,2,3,3,5,21,NA,2,9,-9
"1353",1964,1,3,1,5,7,3,2,1,50000
"1354",1972,1,3,5,7,-9,NA,2,12,40000
"1355",1999,2,3,3,8,21,NA,3,6,-9
"1356",1964,1,3,1,5,6,1,2,1,42000
"1357",1971,2,4,NA,7,9,2,2,1,-9
"1358",1982,1,3,2,9,6,1,2,1,110000
"1359",1951,1,3,-8,6,1,4,2,1,110000
"1360",1972,1,3,2,9,6,1,2,3,130000
"1361",1996,1,3,3,5,21,NA,2,2,5000
"1362",1948,1,3,2,9,6,2,2,4,72000
"1363",1960,1,3,2,7,3,2,2,4,70000
"1364",1963,2,3,2,9,1,1,2,5,80000
"1365",1973,2,3,1,9,21,NA,2,1,160000
"1366",1958,2,3,3,9,3,2,2,1,-8
"1367",1938,1,3,-8,4,6,2,2,4,27000
"1368",1965,1,3,10,7,9,2,2,1,-8
"1369",1959,2,2,-9,9,6,4,2,1,-9
"1370",1959,1,2,-9,7,3,1,2,1,78000
"1371",1961,1,2,1,9,6,1,2,1,160000
"1372",1982,2,2,5,7,-9,NA,2,7,7000
"1373",1952,1,2,1,5,3,2,2,4,77000
"1374",1945,2,2,1,5,6,1,2,-9,21000
"1375",1971,1,2,5,5,6,3,2,12,85000
"1376",1961,1,2,-9,-8,21,NA,2,1,-8
"1377",1984,2,2,-9,7,12,2,2,1,1e+05
"1378",1970,1,2,2,7,6,1,2,1,140000
"1379",1943,1,2,-9,11,-9,2,2,4,-8
"1380",2001,1,2,2,6,6,1,2,6,65000
"1381",1981,2,2,3,10,21,NA,2,3,90000
"1382",1991,2,2,5,9,21,NA,2,1,70000
"1383",1990,2,2,1,5,21,NA,2,1,26000
"1384",1964,1,2,2,6,21,NA,2,3,350000
"1385",1954,2,2,-8,8,1,2,2,4,0
"1386",1980,1,2,6,9,-9,1,2,1,140000
"1387",1986,2,2,3,9,21,NA,2,1,95000
"1388",1973,1,2,1,9,21,NA,2,1,153000
"1389",1972,2,2,1,9,6,2,2,1,0
"1390",1995,2,2,3,5,21,NA,2,2,89000
"1391",1968,1,2,-9,7,1,2,2,1,75000
"1392",1980,2,2,5,5,22,1,2,1,-9
"1393",1989,2,2,-8,7,6,3,2,1,-9
"1394",1986,1,2,-9,5,21,NA,2,1,45000
"1395",1991,2,2,-9,10,21,NA,2,1,50000
"1396",1960,1,7,NA,3,21,NA,2,1,103000
"1397",1971,1,2,-9,9,21,NA,2,1,140000
"1398",1982,1,2,2,5,21,NA,2,1,-9
"1399",1950,1,2,2,7,6,2,2,4,70000
"1400",1950,1,7,1,10,21,NA,2,11,80000
"1401",1945,1,7,2,10,12,2,2,11,180000
"1402",1995,1,7,-9,9,9,1,13,5,90000
"1403",1968,1,7,-9,9,6,2,2,1,190000
"1404",1960,1,7,-9,10,21,NA,2,1,-8
"1405",1969,1,7,2,9,20,2,2,1,185000
"1406",1943,2,7,1,8,1,3,2,4,150000
"1407",1989,1,7,-9,5,-9,4,2,1,28000
"1408",1959,1,7,2,8,21,NA,2,11,185000
"1409",1962,2,7,5,5,21,NA,2,1,70000
"1410",1998,1,7,-9,5,21,NA,2,1,50000
"1411",1970,1,7,2,5,6,2,2,3,130000
"1412",1991,1,7,2,6,21,NA,2,1,29000
"1413",1966,2,7,2,6,22,1,2,4,-9
"1414",1957,1,7,2,5,6,2,2,1,220000
"1415",1981,2,9,-9,7,21,NA,2,7,140000
"1416",1980,1,7,-9,5,21,NA,2,1,35000
"1417",1974,1,7,-8,7,21,NA,2,1,-8
"1418",1990,1,7,-9,4,21,NA,2,1,-8
"1419",1965,1,7,3,10,21,NA,2,1,88000
"1420",1977,1,7,1,6,14,1,2,1,140000
"1421",1967,1,7,-9,5,1,4,2,4,90000
"1422",1975,2,7,1,9,21,NA,2,2,75000
"1423",1965,2,7,1,9,-8,1,13,1,35000
"1424",1962,1,7,2,6,21,NA,2,4,80000
"1425",1998,2,7,3,9,21,NA,2,9,9000
"1426",1969,1,7,2,10,17,2,2,1,120000
"1427",1959,1,7,5,8,21,NA,2,1,105000
"1428",1942,2,7,1,5,6,1,2,4,40000
"1429",1957,1,7,2,7,6,2,11,1,170000
"1430",2000,2,7,-9,5,21,NA,2,1,65000
"1431",1987,2,7,3,10,15,3,2,1,60000
"1432",1972,1,8,2,6,21,NA,2,1,135000
"1433",1979,2,10,1,10,21,NA,2,9,190000
"1434",1977,1,8,2,7,1,2,2,3,2e+05
"1435",1984,2,8,-8,8,6,2,2,1,-8
"1436",1980,2,8,2,9,14,2,2,1,160000
"1437",1997,1,8,-9,5,-9,NA,2,9,75000
"1438",1961,1,8,6,7,22,1,2,1,135000
"1439",1976,2,8,-9,9,14,2,2,2,3e+05
"1440",1991,1,8,-9,9,21,NA,2,1,155000
"1441",1935,2,8,-9,8,6,1,2,4,20000
"1442",1993,1,8,2,5,21,NA,2,3,50000
"1443",1968,2,8,2,11,-8,1,2,2,-8
"1444",1994,2,6,1,9,21,NA,2,9,15000
"1445",1978,1,8,6,7,22,3,2,1,71000
"1446",1956,2,8,-9,7,9,2,2,1,60000
"1447",1964,2,8,2,7,21,NA,2,3,65000
"1448",1957,1,8,2,7,6,2,2,3,36000
"1449",1942,1,8,2,5,17,1,2,4,0
"1450",1994,1,9,2,7,21,NA,2,1,70000
"1451",1983,2,8,-9,9,21,NA,2,1,67000
"1452",1971,2,8,3,9,3,1,2,9,-9
"1453",1970,1,8,2,-9,1,4,13,1,160000
"1454",1978,1,8,2,7,8,1,2,3,120000
"1455",1985,2,8,1,8,8,2,13,1,-9
"1456",1976,1,8,-9,7,6,2,2,3,650000
"1457",1989,1,8,1,9,21,NA,2,1,90000
"1458",1997,1,8,2,9,21,NA,2,6,-9
"1459",1986,1,8,2,5,20,2,2,1,75000
"1460",1970,1,8,2,5,21,NA,2,3,0
"1461",1964,2,8,2,10,1,3,13,4,130000
"1462",1992,1,8,2,8,21,NA,2,9,150000
"1463",1966,1,8,2,9,6,2,2,1,310000
"1464",1977,1,8,2,7,21,NA,2,1,180000
"1465",1999,2,8,-9,5,21,NA,2,1,-9
"1466",2000,1,8,2,4,17,2,2,2,210000
"1467",1943,1,8,6,5,12,1,2,4,50000
"1468",1973,1,8,-9,7,21,NA,2,1,160000
"1469",1996,2,8,-8,8,14,1,2,1,-8
"1470",1962,1,2,5,11,5,1,2,1,350000
"1471",1966,1,9,2,10,6,1,13,1,180000
"1472",1956,2,9,2,8,21,NA,13,4,-8
"1473",1974,1,10,2,7,3,2,2,3,150000
"1474",1952,1,10,-9,5,21,NA,13,4,1e+05
"1475",1949,1,10,1,10,12,1,2,4,-8
"1476",1950,1,10,-9,7,12,1,2,11,60000
"1477",1958,1,10,2,5,14,2,2,1,90000
"1478",1944,2,10,1,9,12,3,2,4,80000
"1479",1946,1,10,3,9,21,NA,2,4,85000
"1480",1952,2,10,2,11,14,2,2,4,250000
"1481",1949,1,10,-8,10,1,3,2,4,24000
"1482",1945,1,10,5,10,21,NA,13,4,54000
"1483",1971,1,10,2,4,21,NA,2,10,150000
"1484",1962,2,7,1,5,6,3,2,1,55000
"1485",1978,2,7,-9,4,22,1,2,2,-8
"1486",1960,2,7,3,8,21,NA,2,1,1e+05
"1487",1952,1,7,5,7,21,NA,2,4,110000
"1488",1954,2,7,2,9,12,1,2,4,60000
"1489",1962,2,7,3,4,6,2,2,1,150000
"1490",1957,2,7,-9,9,8,2,2,4,-8
"1491",1951,1,7,2,5,20,2,2,2,45000
"1492",1949,1,7,2,9,4,1,2,11,50000
"1493",1975,2,7,1,10,12,2,2,1,97000
"1494",1954,1,7,2,8,9,2,2,4,70000
"1495",1925,1,7,2,6,12,1,2,4,25000
"1496",1952,2,7,-9,7,6,2,13,4,18000
"1497",1973,2,4,-9,9,6,1,2,1,2e+05
"1498",1943,1,4,-9,4,6,2,2,5,-9
"1499",1983,1,4,6,9,21,NA,2,1,107000
"1500",1963,1,4,-8,7,3,1,2,3,30000
"1501",1965,2,4,-9,7,6,1,2,1,50000
"1502",1959,1,4,2,7,17,1,2,4,80000
"1503",1957,2,4,5,10,1,1,2,3,107000
"1504",1936,1,4,-9,9,6,4,2,4,32000
"1505",1950,2,4,1,9,21,NA,2,11,-8
"1506",1962,1,1,2,5,1,1,2,8,24000
"1507",1958,1,1,2,7,12,2,2,12,70000
"1508",1958,2,1,3,7,1,3,2,4,-8
"1509",1934,2,3,1,5,6,2,2,4,13000
"1510",1997,1,3,1,8,6,1,2,6,165000
"1511",1975,2,3,-9,9,21,NA,13,1,150000
"1512",1959,1,3,-9,7,1,3,2,8,-9
"1513",1944,2,3,1,10,7,3,2,4,90000
"1514",1955,1,3,-8,9,-8,4,2,4,-8
"1515",1933,2,3,-9,5,3,1,2,4,35000
"1516",1959,1,3,2,6,21,NA,2,4,-8
"1517",1950,2,2,1,7,-8,2,2,4,-8
"1518",1974,1,2,2,7,6,1,2,1,1e+05
"1519",1932,2,2,1,4,12,1,2,4,20000
"1520",1954,2,2,1,9,6,1,2,1,240000
"1521",1950,1,2,1,4,3,1,2,4,-8
"1522",1958,2,2,-9,9,21,NA,2,3,-9
"1523",1973,2,2,-8,7,6,2,2,2,-8
"1524",1953,1,2,1,9,21,NA,2,3,60000
"1525",1950,2,2,-9,3,6,1,2,4,18000
"1526",1956,1,2,1,10,12,3,2,4,260000
"1527",1962,1,2,1,11,6,1,2,1,135000
"1528",1950,2,2,1,4,6,3,2,4,1e+05
"1529",1975,2,8,3,7,6,2,2,9,21000
"1530",1957,2,8,2,7,12,3,2,4,38000
"1531",1956,2,8,3,8,6,3,2,2,40000
"1532",1952,1,8,9,11,21,NA,3,4,95000
"1533",1948,1,8,-9,7,12,3,2,4,105000
"1534",1952,2,8,2,5,9,1,2,4,70000
"1535",1952,2,10,-8,7,6,2,2,4,-8
"1536",1967,2,10,5,9,21,NA,2,12,22000
"1537",1944,1,10,2,6,6,1,2,4,-8
"1538",1948,1,10,2,8,22,2,2,4,60000
"1539",1951,2,10,-9,7,14,1,2,4,-8
"1540",1950,1,10,2,7,12,2,2,1,-8
"1541",1959,2,10,-9,7,21,NA,2,4,275000
"1542",1957,2,10,NA,10,21,NA,2,1,160000
"1543",1981,2,10,-9,6,20,1,2,2,64000
"1544",1977,1,10,-9,8,21,NA,2,1,120000
"1545",1958,2,10,2,4,4,1,2,4,-8
"1546",1941,1,10,5,10,-8,4,13,4,56000
"1547",1946,1,10,5,11,21,NA,13,4,-8
"1548",1948,2,10,5,7,6,3,10,4,-9
"1549",1968,2,10,-9,7,21,NA,2,1,70000
"1550",1971,1,7,1,9,8,2,2,8,-9
"1551",1978,1,7,-9,9,9,2,2,1,66000
"1552",1941,2,7,2,2,17,1,2,4,-8
"1553",1977,1,7,3,4,9,2,2,12,-9
"1554",1956,2,7,1,10,14,2,2,4,0
"1555",1939,1,7,NA,4,13,1,2,4,-9
"1556",1980,1,7,2,9,-8,1,2,3,310000
"1557",1965,1,7,2,6,22,1,2,1,57000
"1558",1948,2,7,-8,6,22,1,2,4,70000
"1559",1946,1,7,-9,10,14,1,13,4,1e+05
"1560",1933,2,7,2,4,17,1,2,4,24000
"1561",1968,2,7,-9,9,9,1,2,1,2e+05
"1562",1971,1,7,2,7,12,2,2,3,45000
"1563",1938,2,7,-9,7,7,2,2,4,15000
"1564",1953,1,7,2,9,21,NA,2,11,170000
"1565",1969,1,7,2,5,21,NA,2,12,575000
"1566",1954,2,7,1,7,12,1,2,4,84000
"1567",1975,1,4,1,9,6,2,2,1,180000
"1568",1953,2,4,1,7,6,2,2,4,29000
"1569",1954,1,4,2,5,6,2,2,4,32000
"1570",1985,1,4,1,6,19,1,2,8,9000
"1571",1946,2,4,1,3,6,1,2,4,35000
"1572",1946,2,4,-8,11,22,1,3,4,50000
"1573",1975,1,4,NA,5,6,1,2,12,-9
"1574",1965,2,4,2,8,1,2,2,12,180000
"1575",1948,2,4,2,9,21,NA,2,4,-9
"1576",1982,1,4,-9,9,21,NA,2,2,90000
"1577",1956,2,4,2,5,3,1,2,3,-8
"1578",1954,1,4,-9,7,6,2,2,1,52000
"1579",1973,1,1,2,2,4,1,2,3,150000
"1580",1955,1,1,1,10,-8,2,2,4,90000
"1581",1983,1,1,2,7,21,NA,2,5,70000
"1582",1976,1,1,2,5,1,3,2,1,160000
"1583",1942,2,1,3,7,22,1,2,4,22000
"1584",1954,1,1,9,6,21,NA,2,4,75000
"1585",1975,1,1,1,7,1,3,2,1,1e+05
"1586",1951,1,1,2,8,6,2,2,4,42000
"1587",1964,1,1,-9,7,-9,4,2,1,130000
"1588",1943,2,1,1,8,6,1,2,4,18000
"1589",1956,1,1,1,8,6,2,2,1,140000
"1590",1982,2,1,-9,6,12,4,2,1,-8
"1591",1963,2,1,-9,9,1,2,2,1,275000
"1592",1957,1,1,-9,9,6,2,2,4,97000
"1593",1983,1,1,2,7,4,2,2,2,24000
