"","age","sex","education","has_religion","religion_importance","income_family","employment","born_canada","province","n"
"4980",51,"Female","College","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"4981",51,"Female","College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","New Brunswick",1
"4982",51,"Female","College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"4983",51,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"4984",51,"Female","College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"4985",51,"Female","College","Yes","Somewhat important","$25,000 to $49,999","employement","born outside canada","Saskatchewan",1
"4986",51,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"4987",51,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"4988",51,"Female","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"4989",51,"Female","College","Yes","Somewhat important","Less than $25,000","employement","born outside canada","Quebec",1
"4990",51,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","New Brunswick",1
"4991",51,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"4992",51,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",3
"4993",51,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",1
"4994",51,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"4995",51,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"4996",51,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"4997",51,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Nova Scotia",1
"4998",51,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"4999",51,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"5000",51,"Female","High school","No","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"5001",51,"Female","High school","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"5002",51,"Female","High school","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Alberta",1
"5003",51,"Female","High school","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"5004",51,"Female","High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"5005",51,"Female","High school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Saskatchewan",1
"5006",51,"Female","High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta",1
"5007",51,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"5008",51,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Prince Edward Island",1
"5009",51,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Alberta",1
"5010",51,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"5011",51,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born outside canada","Alberta",1
"5012",51,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"5013",51,"Female","High school","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"5014",51,"Female","Less than high school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"5015",51,"Female","Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"5016",51,"Female","Less than high school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Quebec",1
"5017",51,"Female","Less than high school","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Manitoba",1
"5018",51,"Female","Trade diploma","No","Very important","Less than $25,000","employement","born in Canada","Ontario",1
"5019",51,"Female","Trade diploma","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"5020",51,"Female","Trade diploma","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"5021",51,"Male","Above bachelor","No","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"5022",51,"Male","Above bachelor","No","Somewhat important","$125,000 and more","unemployement","born outside canada","British Columbia",1
"5023",51,"Male","Above bachelor","Yes","Not important at all","$125,000 and more","employement","born in Canada","New Brunswick",1
"5024",51,"Male","Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",2
"5025",51,"Male","Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"5026",51,"Male","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"5027",51,"Male","Above bachelor","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"5028",51,"Male","Above bachelor","Yes","Somewhat important","$25,000 to $49,999","employement","born outside canada","Ontario",1
"5029",51,"Male","Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"5030",51,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"5031",51,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","Ontario",1
"5032",51,"Male","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"5033",51,"Male","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"5034",51,"Male","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan",1
"5035",51,"Male","Bachelor degree","No","Not important at all","$125,000 and more","employement","born outside canada","British Columbia",1
"5036",51,"Male","Bachelor degree","No","Not important at all","$25,000 to $49,999","employement","born outside canada","Alberta",1
"5037",51,"Male","Bachelor degree","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"5038",51,"Male","Bachelor degree","No","Not very important","$50,000 to $74,999","unemployement","born outside canada","Ontario",1
"5039",51,"Male","Bachelor degree","No","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"5040",51,"Male","Bachelor degree","No","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"5041",51,"Male","Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario",2
"5042",51,"Male","Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"5043",51,"Male","Bachelor degree","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","British Columbia",1
"5044",51,"Male","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"5045",51,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"5046",51,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Ontario",2
"5047",51,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Nova Scotia",1
"5048",51,"Male","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"5049",51,"Male","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta",1
"5050",51,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"5051",51,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Ontario",1
"5052",51,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Quebec",1
"5053",51,"Male","Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"5054",51,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","British Columbia",1
"5055",51,"Male","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"5056",51,"Male","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Saskatchewan",1
"5057",51,"Male","College","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Saskatchewan",1
"5058",51,"Male","College","No","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia",1
"5059",51,"Male","College","No","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Alberta",1
"5060",51,"Male","College","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Prince Edward Island",1
"5061",51,"Male","College","Yes","Not important at all","Less than $25,000","employement","born in Canada","Nova Scotia",1
"5062",51,"Male","College","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"5063",51,"Male","College","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",2
"5064",51,"Male","College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"5065",51,"Male","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"5066",51,"Male","College","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Saskatchewan",1
"5067",51,"Male","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"5068",51,"Male","College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"5069",51,"Male","College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"5070",51,"Male","College","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","New Brunswick",1
"5071",51,"Male","College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","New Brunswick",1
"5072",51,"Male","College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"5073",51,"Male","College","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Alberta",1
"5074",51,"Male","High school","No","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"5075",51,"Male","High school","No","Not very important","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"5076",51,"Male","High school","No","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"5077",51,"Male","High school","No","Very important","$50,000 to $74,999","employement","born in Canada","Nova Scotia",1
"5078",51,"Male","High school","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"5079",51,"Male","High school","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"5080",51,"Male","High school","Yes","Not important at all","Less than $25,000","employement","born in Canada","Quebec",1
"5081",51,"Male","High school","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Alberta",1
"5082",51,"Male","High school","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",2
"5083",51,"Male","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"5084",51,"Male","High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"5085",51,"Male","High school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Saskatchewan",1
"5086",51,"Male","High school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Saskatchewan",1
"5087",51,"Male","High school","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Ontario",1
"5088",51,"Male","High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Alberta",1
"5089",51,"Male","Less than high school","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"5090",51,"Male","Less than high school","Yes","Not very important","$125,000 and more","employement","born in Canada","Prince Edward Island",1
"5091",51,"Male","Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Ontario",1
"5092",51,"Male","Trade diploma","No","Not very important","$50,000 to $74,999","employement","born outside canada","New Brunswick",1
"5093",51,"Male","Trade diploma","Yes","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan",1
"5094",51,"Male","Trade diploma","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"5095",51,"Male","Trade diploma","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"5096",51,"Male","Trade diploma","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"5097",51,"Male","Trade diploma","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"5098",51,"Male","Trade diploma","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta",1
"5099",52,"Female","Above bachelor","No","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"5100",52,"Female","Above bachelor","No","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"5101",52,"Female","Above bachelor","No","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"5102",52,"Female","Above bachelor","No","Very important","$50,000 to $74,999","employement","born outside canada","British Columbia",1
"5103",52,"Female","Above bachelor","Yes","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"5104",52,"Female","Above bachelor","Yes","Not very important","$125,000 and more","employement","born outside canada","Manitoba",1
"5105",52,"Female","Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born outside canada","Alberta",1
"5106",52,"Female","Above bachelor","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"5107",52,"Female","Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Quebec",1
"5108",52,"Female","Above bachelor","Yes","Somewhat important","$75,000 to $99,999","unemployement","born outside canada","Quebec",1
"5109",52,"Female","Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"5110",52,"Female","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"5111",52,"Female","Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","Ontario",1
"5112",52,"Female","Bachelor degree","No","Not very important","$25,000 to $49,999","employement","born outside canada","British Columbia",1
"5113",52,"Female","Bachelor degree","No","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"5114",52,"Female","Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"5115",52,"Female","Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"5116",52,"Female","Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"5117",52,"Female","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba",1
"5118",52,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba",1
"5119",52,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"5120",52,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"5121",52,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta",1
"5122",52,"Female","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"5123",52,"Female","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Nova Scotia",1
"5124",52,"Female","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"5125",52,"Female","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta",1
"5126",52,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"5127",52,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Quebec",1
"5128",52,"Female","Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born in Canada","Nova Scotia",1
"5129",52,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Quebec",1
"5130",52,"Female","Bachelor degree","Yes","Very important","Less than $25,000","employement","born outside canada","Ontario",1
"5131",52,"Female","College","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"5132",52,"Female","College","No","Somewhat important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"5133",52,"Female","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"5134",52,"Female","College","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta",1
"5135",52,"Female","College","Yes","Not very important","$125,000 and more","employement","born in Canada","British Columbia",1
"5136",52,"Female","College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"5137",52,"Female","College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","New Brunswick",1
"5138",52,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia",1
"5139",52,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",2
"5140",52,"Female","College","Yes","Somewhat important","$25,000 to $49,999","employement","born outside canada","Ontario",1
"5141",52,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"5142",52,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"5143",52,"Female","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"5144",52,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","New Brunswick",1
"5145",52,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"5146",52,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"5147",52,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",1
"5148",52,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"5149",52,"Female","College","Yes","Very important","$125,000 and more","employement","born outside canada","Ontario",3
"5150",52,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"5151",52,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Quebec",1
"5152",52,"Female","College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"5153",52,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",2
"5154",52,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Saskatchewan",1
"5155",52,"Female","College","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"5156",52,"Female","High school","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"5157",52,"Female","High school","No","Not important at all","$75,000 to $99,999","employement","born outside canada","British Columbia",1
"5158",52,"Female","High school","No","Very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"5159",52,"Female","High school","No","Very important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"5160",52,"Female","High school","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"5161",52,"Female","High school","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"5162",52,"Female","High school","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Manitoba",1
"5163",52,"Female","High school","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"5164",52,"Female","High school","Yes","Not very important","$125,000 and more","employement","born in Canada","British Columbia",1
"5165",52,"Female","High school","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"5166",52,"Female","High school","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"5167",52,"Female","High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"5168",52,"Female","High school","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"5169",52,"Female","High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Prince Edward Island",1
"5170",52,"Female","High school","Yes","Not very important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"5171",52,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta",1
"5172",52,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"5173",52,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"5174",52,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"5175",52,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"5176",52,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",2
"5177",52,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"5178",52,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"5179",52,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"5180",52,"Female","High school","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"5181",52,"Female","High school","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",2
"5182",52,"Female","High school","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"5183",52,"Female","High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","New Brunswick",2
"5184",52,"Female","High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"5185",52,"Female","High school","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Manitoba",1
"5186",52,"Female","Less than high school","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Quebec",1
"5187",52,"Female","Less than high school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"5188",52,"Female","Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"5189",52,"Female","Less than high school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"5190",52,"Female","Less than high school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"5191",52,"Female","Less than high school","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",1
"5192",52,"Female","Trade diploma","No","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"5193",52,"Female","Trade diploma","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"5194",52,"Female","Trade diploma","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Nova Scotia",1
"5195",52,"Female","Trade diploma","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Prince Edward Island",1
"5196",52,"Female","Trade diploma","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"5197",52,"Female","Trade diploma","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"5198",52,"Female","Trade diploma","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Saskatchewan",1
"5199",52,"Female","University","No","Not important at all","$75,000 to $99,999","unemployement","born outside canada","British Columbia",1
"5200",52,"Female","University","No","Very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"5201",52,"Female","University","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"5202",52,"Female","University","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"5203",52,"Female","University","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"5204",52,"Female","University","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Alberta",1
"5205",52,"Female","University","Yes","Very important","Less than $25,000","unemployement","born in Canada","Ontario",1
"5206",52,"Male","Above bachelor","No","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"5207",52,"Male","Above bachelor","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"5208",52,"Male","Above bachelor","No","Not important at all","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"5209",52,"Male","Above bachelor","Yes","Not important at all","$125,000 and more","employement","born outside canada","Quebec",1
"5210",52,"Male","Above bachelor","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"5211",52,"Male","Above bachelor","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"5212",52,"Male","Above bachelor","Yes","Not very important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"5213",52,"Male","Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","British Columbia",1
"5214",52,"Male","Above bachelor","Yes","Not very important","$125,000 and more","unemployement","born outside canada","Quebec",1
"5215",52,"Male","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"5216",52,"Male","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born outside canada","British Columbia",1
"5217",52,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",1
"5218",52,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"5219",52,"Male","Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Manitoba",1
"5220",52,"Male","Above bachelor","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Ontario",1
"5221",52,"Male","Above bachelor","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Nova Scotia",1
"5222",52,"Male","Bachelor degree","No","Not important at all","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"5223",52,"Male","Bachelor degree","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"5224",52,"Male","Bachelor degree","No","Not important at all","$25,000 to $49,999","employement","born outside canada","Ontario",1
"5225",52,"Male","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born outside canada","Nova Scotia",1
"5226",52,"Male","Bachelor degree","No","Not important at all","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"5227",52,"Male","Bachelor degree","No","Not very important","$125,000 and more","unemployement","born outside canada","British Columbia",1
"5228",52,"Male","Bachelor degree","No","Not very important","$75,000 to $99,999","unemployement","born outside canada","British Columbia",1
"5229",52,"Male","Bachelor degree","No","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"5230",52,"Male","Bachelor degree","No","Somewhat important","$125,000 and more","unemployement","born in Canada","Ontario",1
"5231",52,"Male","Bachelor degree","No","Somewhat important","$75,000 to $99,999","unemployement","born outside canada","Manitoba",1
"5232",52,"Male","Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"5233",52,"Male","Bachelor degree","Yes","Not important at all","$25,000 to $49,999","employement","born outside canada","Ontario",1
"5234",52,"Male","Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"5235",52,"Male","Bachelor degree","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Saskatchewan",1
"5236",52,"Male","Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"5237",52,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",2
"5238",52,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Ontario",1
"5239",52,"Male","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","British Columbia",1
"5240",52,"Male","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Alberta",1
"5241",52,"Male","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"5242",52,"Male","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"5243",52,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",1
"5244",52,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Quebec",1
"5245",52,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Alberta",1
"5246",52,"Male","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"5247",52,"Male","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Alberta",1
"5248",52,"Male","College","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"5249",52,"Male","College","No","Not important at all","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"5250",52,"Male","College","No","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",1
