"","age","sex","vote_Liberal","education","has_religion","religion_importance","income_family","employment","born_canada","province"
"1754",67,"Male",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Alberta"
"1755",59,"Female",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Alberta"
"1758",41,"Male",0,"Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia"
"1759",48,"Female",0,"College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1765",75,"Female",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born outside canada","Quebec"
"1768",55,"Male",1,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"1769",76,"Male",0,"College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"1772",52,"Female",1,"Above bachelor","Yes","Very important","$75,000 to $99,999","employement","born in Canada","British Columbia"
"1773",81,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born outside canada","Alberta"
"1775",74,"Female",0,"Bachelor degree","Yes","Not very important","$25,000 to $49,999","unemployement","born outside canada","Alberta"
"1776",67,"Male",0,"Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"1777",58,"Female",0,"University","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Saskatchewan"
"1778",58,"Male",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Alberta"
"1796",43,"Female",0,"Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born outside canada","Alberta"
"1797",75,"Female",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Alberta"
"1801",64,"Female",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"1803",50,"Female",0,"College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"1810",48,"Male",0,"Trade diploma","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Ontario"
"1812",36,"Male",0,"University","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Saskatchewan"
"1814",62,"Male",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1818",65,"Female",0,"University","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan"
"1819",65,"Male",0,"College","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Manitoba"
"1821",59,"Female",0,"Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"1823",39,"Male",0,"College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"1827",34,"Female",0,"High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec"
"1829",66,"Female",0,"Trade diploma","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Ontario"
"1830",67,"Male",1,"College","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"1832",56,"Male",1,"High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec"
"1833",76,"Male",0,"High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"1836",61,"Male",0,"High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec"
"1838",69,"Female",0,"College","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Manitoba"
"1848",57,"Female",0,"Trade diploma","Yes","Very important","Less than $25,000","employement","born in Canada","Ontario"
"1850",60,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta"
"1852",75,"Male",0,"High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"1853",35,"Female",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"1855",47,"Male",1,"College","Yes","Very important","Less than $25,000","unemployement","born in Canada","Manitoba"
"1856",49,"Female",0,"College","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"1857",68,"Male",0,"High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"1859",67,"Female",1,"College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1864",76,"Male",0,"High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"1865",56,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","employement","born outside canada","Quebec"
"1874",56,"Female",1,"Less than high school","Yes","Very important","Less than $25,000","employement","born in Canada","New Brunswick"
"1877",34,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia"
"1880",64,"Female",1,"College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1884",47,"Female",0,"Above bachelor","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","British Columbia"
"1887",54,"Male",1,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"1888",71,"Male",0,"College","Yes","Not very important","$25,000 to $49,999","unemployement","born outside canada","Manitoba"
"1889",63,"Female",0,"Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"1890",53,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia"
"1891",44,"Female",0,"Bachelor degree","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Alberta"
"1896",42,"Female",0,"College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"1898",46,"Female",1,"College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1902",46,"Male",0,"Trade diploma","Yes","Not important at all","$125,000 and more","unemployement","born in Canada","Ontario"
"1905",54,"Female",0,"Trade diploma","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Ontario"
"1907",66,"Female",1,"University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"1914",23,"Male",0,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"1916",57,"Female",1,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta"
"1920",56,"Female",0,"College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"1921",49,"Male",1,"Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Alberta"
"1925",79,"Female",0,"Less than high school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick"
"1926",65,"Female",0,"High school","Yes","Very important","$125,000 and more","unemployement","born in Canada","Quebec"
"1927",50,"Male",0,"Less than high school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick"
"1935",78,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1938",73,"Female",1,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"1943",46,"Male",0,"Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"1949",72,"Female",1,"High school","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Quebec"
"1955",72,"Female",1,"College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"1958",57,"Male",0,"Above bachelor","Yes","Not very important","Less than $25,000","employement","born in Canada","British Columbia"
"1962",52,"Male",1,"College","Yes","Not very important","$25,000 to $49,999","employement","born outside canada","Manitoba"
"1965",63,"Female",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Manitoba"
"1969",67,"Male",0,"College","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"1974",78,"Male",0,"College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1975",58,"Female",0,"College","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Manitoba"
"1977",74,"Female",1,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"1978",81,"Male",0,"Less than high school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick"
"1980",82,"Male",1,"University","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Saskatchewan"
"1981",47,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1982",72,"Male",1,"Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia"
"1985",62,"Female",1,"High school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Quebec"
"1986",39,"Female",0,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"1988",74,"Male",0,"College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"1991",73,"Male",0,"College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Manitoba"
"1995",33,"Female",0,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","unemployement","born outside canada","Alberta"
"1997",39,"Female",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"2000",58,"Female",0,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"2002",62,"Male",1,"College","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"2005",65,"Male",0,"University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"2006",43,"Female",0,"Bachelor degree","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Alberta"
"2021",64,"Female",1,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"2027",69,"Male",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia"
"2032",81,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia"
"2036",66,"Male",1,"Trade diploma","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Ontario"
"2037",64,"Male",0,"High school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Quebec"
"2038",78,"Male",0,"University","Yes","Not important at all","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"2039",45,"Female",1,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"2040",75,"Female",0,"Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born in Canada","Alberta"
"2041",64,"Female",1,"University","Yes","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan"
"2042",60,"Male",1,"High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec"
"2044",45,"Male",1,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"2045",63,"Female",1,"Above bachelor","Yes","Not important at all","$125,000 and more","unemployement","born in Canada","British Columbia"
"2046",79,"Male",1,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Alberta"
"2056",54,"Male",0,"Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia"
"2060",74,"Male",0,"Above bachelor","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia"
"2061",56,"Male",1,"Less than high school","Yes","Very important","$125,000 and more","employement","born in Canada","New Brunswick"
"2065",85,"Male",0,"University","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Saskatchewan"
"2067",64,"Female",1,"Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born outside canada","Alberta"
"2071",70,"Male",0,"Trade diploma","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Ontario"
"2072",51,"Male",1,"University","Yes","Very important","$125,000 and more","employement","born outside canada","Saskatchewan"
"2073",21,"Male",0,"University","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan"
"2074",60,"Female",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"2075",61,"Male",1,"Above bachelor","Yes","Very important","Less than $25,000","unemployement","born in Canada","British Columbia"
"2077",73,"Female",0,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia"
"2079",87,"Female",1,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"2082",58,"Male",0,"University","Yes","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"2085",58,"Female",0,"High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Quebec"
"2088",58,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"2090",60,"Female",0,"Above bachelor","Yes","Not important at all","$125,000 and more","unemployement","born in Canada","British Columbia"
"2097",51,"Male",0,"College","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Manitoba"
"2100",77,"Female",1,"High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"2107",53,"Male",0,"Above bachelor","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"2112",54,"Male",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"2115",45,"Male",0,"Trade diploma","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario"
"2116",58,"Male",0,"Less than high school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","New Brunswick"
"2117",55,"Female",0,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Quebec"
"2118",34,"Female",1,"Bachelor degree","Yes","Not important at all","$25,000 to $49,999","unemployement","born outside canada","Alberta"
"2119",59,"Female",0,"College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"2124",72,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"2125",75,"Male",0,"College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"2131",60,"Female",0,"College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"2133",73,"Female",0,"College","Yes","Very important","Less than $25,000","unemployement","born in Canada","Manitoba"
"2137",40,"Female",0,"Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"2140",40,"Male",0,"College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Manitoba"
"2142",88,"Female",0,"Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Alberta"
"2143",61,"Male",0,"College","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Manitoba"
"2145",54,"Female",1,"Bachelor degree","Yes","Not very important","Less than $25,000","unemployement","born in Canada","Alberta"
"2146",47,"Female",0,"College","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Manitoba"
"2151",77,"Male",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Alberta"
"2158",65,"Male",1,"High school","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Quebec"
"2162",83,"Female",1,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Quebec"
"2173",69,"Female",0,"College","Yes","Very important","Less than $25,000","employement","born in Canada","Manitoba"
"2176",67,"Male",1,"Above bachelor","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"2177",48,"Female",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","employement","born outside canada","Alberta"
"2178",53,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"2184",58,"Female",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"2185",54,"Female",1,"High school","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Quebec"
"2186",70,"Female",1,"Trade diploma","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Ontario"
"2188",67,"Female",1,"Bachelor degree","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Alberta"
"2192",70,"Female",1,"High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"2194",67,"Female",0,"Bachelor degree","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Alberta"
"2198",52,"Male",1,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Manitoba"
"2201",77,"Male",0,"Bachelor degree","Yes","Not very important","Less than $25,000","unemployement","born in Canada","Alberta"
"2205",39,"Female",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"2206",74,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia"
"2207",56,"Female",0,"Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"2208",57,"Male",1,"Less than high school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Nova Scotia"
"2209",44,"Female",0,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"2220",54,"Male",1,"High school","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Quebec"
"2221",72,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"2228",67,"Male",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Alberta"
"2235",45,"Male",0,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Manitoba"
"2237",42,"Female",0,"Trade diploma","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Ontario"
"2239",47,"Male",0,"Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Alberta"
"2243",80,"Female",0,"College","Yes","Not very important","Less than $25,000","unemployement","born outside canada","Manitoba"
"2244",37,"Female",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"2245",63,"Female",0,"College","Yes","Very important","Less than $25,000","employement","born in Canada","Manitoba"
"2246",54,"Male",0,"Less than high school","Yes","Not very important","$125,000 and more","employement","born in Canada","New Brunswick"
"2248",76,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"2251",74,"Male",0,"College","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Manitoba"
"2254",83,"Female",1,"University","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Saskatchewan"
"2261",56,"Female",1,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"2262",74,"Male",0,"University","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"2267",66,"Male",0,"Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick"
"2269",60,"Female",0,"High school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec"
"2270",73,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"2271",63,"Female",0,"High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Quebec"
"2274",72,"Male",0,"Above bachelor","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia"
"2275",71,"Male",0,"Bachelor degree","Yes","Not very important","$50,000 to $74,999","unemployement","born outside canada","Alberta"
"2276",22,"Female",1,"Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","New Brunswick"
"2277",59,"Male",1,"High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec"
"2280",24,"Female",0,"University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"2281",36,"Female",0,"College","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"2282",56,"Male",0,"Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Alberta"
"2284",25,"Female",0,"College","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Manitoba"
"2285",39,"Male",0,"College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"2287",40,"Male",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"2288",33,"Female",0,"University","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Saskatchewan"
"2296",59,"Male",0,"Less than high school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","New Brunswick"
"2297",46,"Male",1,"Less than high school","Yes","Not very important","$125,000 and more","employement","born in Canada","New Brunswick"
"2298",68,"Male",0,"Trade diploma","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario"
"2299",19,"Female",1,"High school","Yes","Very important","$125,000 and more","unemployement","born in Canada","Quebec"
"2303",26,"Female",0,"Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"2306",52,"Male",0,"High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"2309",48,"Male",0,"High school","Yes","Very important","Less than $25,000","employement","born in Canada","Quebec"
"2311",66,"Male",0,"University","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Saskatchewan"
"2316",44,"Male",1,"Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Alberta"
"2318",25,"Female",0,"High school","No","Somewhat important","$25,000 to $49,999","employement","born in Canada","Quebec"
"2321",52,"Female",0,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"2322",40,"Female",1,"High school","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Quebec"
"2324",70,"Male",0,"Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"2327",33,"Male",0,"University","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Saskatchewan"
"2330",48,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"2334",58,"Male",0,"College","Yes","Very important","$125,000 and more","unemployement","born in Canada","Manitoba"
"2335",54,"Male",0,"College","Yes","Not very important","$125,000 and more","employement","born in Canada","Manitoba"
"2337",71,"Male",0,"University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Saskatchewan"
"2342",61,"Male",0,"Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick"
"2345",60,"Male",0,"Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta"
"2348",43,"Male",0,"Bachelor degree","Yes","Not important at all","$75,000 to $99,999","employement","born outside canada","Alberta"
"2349",64,"Male",0,"Less than high school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","New Brunswick"
"2350",37,"Female",1,"College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"2353",42,"Male",1,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"2355",30,"Female",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta"
"2359",66,"Male",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"2364",62,"Male",1,"High school","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec"
"2367",37,"Female",0,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Alberta"
"2376",56,"Female",0,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"2378",79,"Female",0,"College","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Manitoba"
"2381",47,"Male",0,"High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"2382",63,"Male",0,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Alberta"
"2383",35,"Male",0,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"2385",36,"Male",0,"College","Yes","Very important","Less than $25,000","employement","born in Canada","Manitoba"
"2388",36,"Male",1,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"2390",43,"Female",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"2391",35,"Male",1,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"2392",83,"Male",1,"Less than high school","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick"
"2396",65,"Male",0,"Above bachelor","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"2397",64,"Female",0,"High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"2398",46,"Male",1,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Alberta"
"2400",47,"Female",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"2402",65,"Male",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"2408",57,"Female",1,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Alberta"
"2409",57,"Female",0,"College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"2412",20,"Male",0,"High school","Yes","Very important","$125,000 and more","unemployement","born in Canada","Quebec"
"2416",60,"Male",0,"Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Alberta"
"2425",56,"Female",1,"Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Alberta"
"2427",81,"Male",1,"Above bachelor","Yes","Very important","$125,000 and more","unemployement","born in Canada","British Columbia"
"2429",76,"Female",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"2430",47,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"2433",20,"Male",0,"High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Quebec"
"2437",78,"Male",0,"High school","Yes","Very important","$125,000 and more","unemployement","born outside canada","Quebec"
"2447",62,"Female",1,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"2449",55,"Male",0,"High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Quebec"
"2452",47,"Female",1,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"2454",58,"Male",0,"College","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Manitoba"
"2455",85,"Male",0,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Quebec"
"2456",43,"Male",0,"University","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan"
"2458",30,"Male",0,"College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"2460",51,"Female",0,"Above bachelor","Yes","Not important at all","$125,000 and more","employement","born in Canada","British Columbia"
"2467",56,"Female",1,"College","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Manitoba"
"2469",49,"Female",0,"Trade diploma","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario"
"2473",46,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"2474",71,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"2480",77,"Female",0,"Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","New Brunswick"
"2481",34,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Alberta"
"2486",45,"Female",0,"Above bachelor","Yes","Very important","$75,000 to $99,999","employement","born outside canada","British Columbia"
"2490",27,"Male",0,"Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Alberta"
"2491",65,"Female",0,"High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
